ご注文の処理・商品の発送・お問い合わせへの対応等、業務上必要な範囲において、当サービスの担当スタッフがお客様の個人情報（氏名・住所・電話番号等）にアクセスする場合があります。アクセスは業務に必要な最小限の範囲に限定し、情報の取り扱いに関する管理を実施しております。|||Our staff may access your personal information (name, address, phone number, etc.) to the extent needed for business purposes such as processing orders, shipping items, and answering enquiries. Access is limited to the minimum required, and we manage how the information is handled.|||在处理订单、商品发货、回复咨询等业务必要范围内，本服务的负责员工可能会访问您的个人信息（姓名・地址・电话号码等）。访问权限仅限于业务所需的最小范围，并对信息的处理进行管理。
なお、パスワードは暗号化して保存しており、スタッフを含む何人も閲覧することはできません。|||Passwords are stored encrypted and cannot be viewed by anyone, including our staff.|||此外，密码以加密方式保存，包括员工在内的任何人都无法查看。
お客様が入力されたメッセージは、回答生成のためにOpenAI社のサーバー（米国）に送信されます。氏名・メールアドレス・住所等の個人情報はシステムから自動送信されませんが、|||The messages you type are sent to OpenAI's servers (in the United States) to generate a reply. The system does not automatically send personal information such as your name, email address, or address, but|||您输入的消息将被发送至 OpenAI 公司的服务器（美国）以生成回复。系统不会自动发送姓名、邮箱地址、住址等个人信息，但
なお、OpenAI社のAPI利用規約に基づき、送信されたデータがAIモデルの学習に使用されることはありません。また、お客様の注文情報・アカウント情報等の個人データを、外部の生成AIサービスに送信することはありません。|||Under OpenAI's API terms, the data sent is not used to train AI models. We also never send personal data such as your order or account information to external generative AI services.|||根据 OpenAI 公司的 API 使用条款，所发送的数据不会用于AI模型训练。此外，我们不会将您的订单信息、账号信息等个人数据发送至外部生成式AI服务。
退会（アカウントの削除）をご希望の場合は、第8項に記載のお問い合わせ窓口までご連絡ください。ご本人確認のうえ、未処理のご注文（入金待ち・発送待ち等）がないことを確認次第、登録情報を削除または匿名化いたします。なお、税法等の法令に基づく保存義務がある取引情報（受付番号・取引日・金額等）は所定の保存期間が経過するまで残存しますが、ご本人を特定し得る情報は削除いたします。|||To close your account, contact the desk listed in section 8. After verifying your identity and confirming you have no orders in progress (awaiting payment or shipment), we delete or anonymise your registration details. Transaction records that we are legally required to keep (order number, transaction date, amount, etc.) remain until the required retention period ends, but information that could identify you is deleted.|||如需退会（删除账号），请联系第8项所列的咨询窗口。在确认本人身份并确认没有未处理订单（待付款・待发货等）后，我们将删除或匿名化您的注册信息。此外，依税法等法令须保存的交易信息（受理编号・交易日期・金额等）将保留至规定的保存期限届满，但可识别本人的信息将被删除。
メール：nkonline1030@gmail.com|||Email: nkonline1030@gmail.com|||邮箱：nkonline1030@gmail.com
電話：090-5820-1803（平日 10:00〜18:00）|||Phone: 090-5820-1803 (weekdays 10:00-18:00)|||电话：090-5820-1803（工作日 10:00〜18:00）
最終更新日：2026年5月10日|||Last updated: May 10, 2026|||最后更新日：2026年5月10日
種|||types|||种
ダイヤモンド会員特典|||Diamond member benefit|||钻石会员优惠
送料無料（ダイヤモンド会員特典）|||Free shipping (Diamond member benefit)|||免运费（钻石会员优惠）
クーポン適用|||Coupon applied|||已使用优惠券
送料無料（クーポン適用）|||Free shipping (coupon applied)|||免运费（已使用优惠券）
送料無料（商品合計¥10,000以上）|||Free shipping (item total ¥10,000+)|||免运费（商品合计满¥10,000）
（クリックポスト・全国一律・税込）|||(Click Post, flat rate nationwide, tax incl.)|||（Click Post・全国统一・含税）
住所を入力すると送料が表示されます|||Enter your address to see the shipping fee|||输入地址后将显示运费
住所を正しく入力してください（都道府県から）|||Please enter your address correctly (starting with the prefecture)|||请正确填写地址（从都道府县开始）
送料は別途ご案内します|||We will let you know the shipping fee separately|||运费将另行告知
件|||results|||件
離島への配送は対象外です。恐れ入りますがご注文いただけません。|||We do not deliver to remote islands. We are sorry, but this order cannot be placed.|||不配送至离岛。抱歉，无法下单。
カートは空です|||Your cart is empty|||购物车是空的
(送料別)|||(shipping extra)|||(运费另计)
パスワードをお忘れの方|||Forgot your password?|||忘记密码
メールアドレスをお忘れの方|||Forgot your email address?|||忘记邮箱地址
メールアドレスとパスワードを入力してください|||Please enter your email address and password|||请输入邮箱地址与密码
ログイン中...|||Logging in...|||登录中...
ログインしました|||Logged in|||已登录
ログインに失敗しました|||Login failed|||登录失败
失敗|||Failed|||失败
有効なメールアドレスを入力してください|||Please enter a valid email address|||请输入有效的邮箱地址
パスワードは6文字以上で入力してください|||Password must be at least 6 characters|||密码需6位以上
会社名/氏名は必須です|||Company / name is required|||公司名／姓名为必填
必須|||Required|||必填
郵便番号は7桁の数字で入力してください|||Enter your postal code as 7 digits|||邮政编码请输入7位数字
電話番号の形式が正しくありません（0から始まる10〜11桁）|||Phone number format is invalid (10-11 digits starting with 0)|||电话号码格式不正确（以0开头的10〜11位数字）
電話番号に郵便番号が入力されていませんか？|||Did you enter a postal code in the phone number field?|||电话号码栏是否误填了邮政编码？
郵便番号に電話番号が入力されていませんか？|||Did you enter a phone number in the postal code field?|||邮政编码栏是否误填了电话号码？
番地を入力してください|||Please enter your street address|||请输入街道地址
番地に数字が含まれていません|||Your street address contains no numbers|||街道地址中不含数字
番地に数字が含まれていません。正しい番地を入力してください|||Your street address contains no numbers. Please enter a valid street address|||街道地址中不含数字。请输入正确的街道地址
登録が完了しました！|||Registration complete!|||注册完成！
登録が完了しました！10%割引が適用されます|||Registration complete! Your 10% discount is now active|||注册完成！已应用9折优惠
登録に失敗しました|||Registration failed|||注册失败
登録に失敗しました。再度お試しください|||Registration failed. Please try again|||注册失败。请重试
停止中|||Paused|||已停止
マイページの読み込みに失敗しました|||Could not load My page|||我的页面加载失败
読み込みに失敗しました|||Could not load|||加载失败
依頼中|||Requested|||申请中
ログアウトしました|||Logged out|||已退出登录
エラー|||Error|||错误
設定済|||Set|||已设置
閉じる|||Close|||关闭
お名前を入力してください|||Please enter your name|||请输入姓名
お問い合わせ内容を入力してください|||Please enter your message|||请输入咨询内容
お問い合わせを送信しました|||Your message has been sent|||咨询已发送
送信に失敗しました|||Sending failed|||发送失败
報告内容を入力してください|||Please enter the report details|||请输入报告内容
バグ報告を送信しました。ご報告ありがとうございます。|||Your bug report has been sent. Thank you.|||错误报告已发送。感谢您的反馈。
仮パスワードを送信しました|||Temporary password sent|||临时密码已发送
会社名/氏名を入力してください|||Please enter your company name or name|||请输入公司名／姓名
確認中...|||Checking...|||确认中...
一致する情報が見つかりませんでした|||No matching record was found|||未找到匹配的信息
