【送料について】\n送料はお届け先の地域と荷物のサイズ（60〜160サイズ）によって自動計算されます。\n\n・薄手1点のみのご注文：全国一律280円（クリックポスト・沖縄県含む）\n・宅配便：750円〜（60サイズ・地域により異なります）\n・沖縄県：60〜100サイズ2,500円／140・160サイズ3,500円\n・商品合計¥10,000以上で送料無料！\n・ダイヤモンド会員は常に送料無料（沖縄県も含む）！\n\n※初回50%OFFキャンペーン適用時は「¥10,000以上送料無料」の対象外となります。\n※アソートの「価格破壊商品」は¥10,000以上でも送料別途かかります。\n※沖縄県は¥10,000以上送料無料・送料無料クーポンの対象外です（ダイヤモンド会員は無料）。\n\n詳しくはヘッダーの「デタウリ送料表」からご確認ください。|||[About shipping]\nShipping is calculated automatically from your region and the parcel size (60-160).\n\n- One thin item only: ¥280 flat nationwide (Click Post, Okinawa included)\n- Parcel delivery: from ¥750 (size 60, varies by region)\n- Okinawa: ¥2,500 for sizes 60-100, ¥3,500 for sizes 140-160\n- Free shipping on item totals of ¥10,000 or more!\n- Diamond members always ship free (Okinawa included)!\n\n*The "free over ¥10,000" rule does not apply during the first-order 50% OFF campaign.\n*Assort "clearance items" are charged shipping even above ¥10,000.\n*Okinawa is excluded from the ¥10,000 free-shipping rule and free-shipping coupons (Diamond members ship free).\n\nSee "Detauri shipping rates" in the header for details.|||【关于运费】\n运费将根据收货地区与包裹尺寸（60〜160尺寸）自动计算。\n\n・仅订购1件薄款商品：全国统一280日元（Click Post・含冲绳县）\n・宅配：750日元起（60尺寸・因地区而异）\n・冲绳县：60〜100尺寸2,500日元／140・160尺寸3,500日元\n・商品合计满¥10,000免运费！\n・钻石会员始终免运费（含冲绳县）！\n\n*首单5折活动期间不适用「满¥10,000免运费」。\n*混装批发的「破价商品」即使满¥10,000仍需另付运费。\n*冲绳县不适用满¥10,000免运费及免运费优惠券（钻石会员免费）。\n\n详情请从页眉的「Detauri 运费表」确认。
送料無料になる条件は以下の通りです。\n\n1. 商品合計¥10,000以上で送料無料！\n2. ダイヤモンド会員は常に送料無料（沖縄県も含む）\n\n¥10,000以上のお買い物で自動的に送料が無料になります。\n\n※初回50%OFFキャンペーン適用時は「¥10,000以上送料無料」の対象外です。ダイヤモンド会員の送料無料は適用されます。\n※アソートの「価格破壊商品」は¥10,000以上でも送料別途かかります（商品カードに「送料別途」と表示）。\n※沖縄県は¥10,000以上送料無料・送料無料クーポンの対象外です（ダイヤモンド会員は無料）。|||Free shipping applies as follows.\n\n1. Item totals of ¥10,000 or more ship free!\n2. Diamond members always ship free (Okinawa included)\n\nShipping becomes free automatically once you spend ¥10,000 or more.\n\n*The "free over ¥10,000" rule does not apply during the first-order 50% OFF campaign. Diamond free shipping still applies.\n*Assort "clearance items" are charged shipping even above ¥10,000 (marked "shipping extra" on the item card).\n*Okinawa is excluded from the ¥10,000 free-shipping rule and free-shipping coupons (Diamond members ship free).|||免运费的条件如下。\n\n1. 商品合计满¥10,000免运费！\n2. 钻石会员始终免运费（含冲绳县）\n\n消费满¥10,000将自动免运费。\n\n*首单5折活动期间不适用「满¥10,000免运费」。钻石会员的免运费仍然适用。\n*混装批发的「破价商品」即使满¥10,000仍需另付运费（商品卡上标示「运费另计」）。\n*冲绳县不适用满¥10,000免运费及免运费优惠券（钻石会员免费）。
【現在の割引制度】\n\n1. 会員登録割引：全品10%OFF（2026年9月末まで）\n2. 初回全品半額キャンペーン：会員登録後の初回注文は全品50%OFF（2026年9月末まで）\n3. 商品合計¥10,000以上で送料無料！\n\n※初回50%OFFキャンペーン適用時は他の割引・¥10,000以上送料無料が適用されません。\n※アソートの「価格破壊商品」は¥10,000以上でも送料別途かかります。\n※沖縄県は¥10,000以上送料無料の対象外です（ダイヤモンド会員は無料）。\n\nまずは無料会員登録がおすすめです！|||[Current discounts]\n\n1. Sign-up discount: 10% OFF everything (until end of September 2026)\n2. First-order half price: 50% OFF everything on your first order after signing up (until end of September 2026)\n3. Free shipping on item totals of ¥10,000 or more!\n\n*During the first-order 50% OFF campaign, other discounts and the ¥10,000 free-shipping rule do not apply.\n*Assort "clearance items" are charged shipping even above ¥10,000.\n*Okinawa is excluded from the ¥10,000 free-shipping rule (Diamond members ship free).\n\nStart with a free account!|||【目前的折扣制度】\n\n1. 会员注册折扣：全场9折（截至2026年9月底）\n2. 首单全场5折活动：注册会员后的首单全场5折（截至2026年9月底）\n3. 商品合计满¥10,000免运费！\n\n*首单5折活动期间不适用其他折扣及满¥10,000免运费。\n*混装批发的「破价商品」即使满¥10,000仍需另付运费。\n*冲绳县不适用满¥10,000免运费（钻石会员免费）。\n\n建议先免费注册会员！
【会員ランク制度】\n\n・レギュラー：初回登録時（10%OFF特典＋500ポイント）\n・シルバー（年間5万円以上）：ポイント3%還元\n・ゴールド（年間20万円以上）：ポイント5%還元\n・ダイヤモンド（年間50万円以上）：ポイント5%還元＋送料無料！\n\n【判定・更新】\n・固定の更新日はなく、判定の瞬間から過去12ヶ月の購入額で自動判定（ローリング方式）\n・購入のあった月から12ヶ月経つと順次集計から外れるため、累計が閾値を下回れば降格します\n・月平均¥42,000で1年でダイヤモンドに到達できます\n\n【救済復活】\n・前年（12〜24ヶ月前）にダイヤ／ゴールドだった方は、レギュラー降格後も直近1ヶ月以内に¥50,000以上購入で即復活\n・救済でゴールドに復活された方は、年間¥350,000でダイヤモンド昇格（通常¥500,000）|||[Membership ranks]\n\n- Regular: on sign-up (10% OFF benefit + 500 points)\n- Silver (¥50,000+ per year): 3% back in points\n- Gold (¥200,000+ per year): 5% back in points\n- Diamond (¥500,000+ per year): 5% back in points + free shipping!\n\n[Evaluation & renewal]\n- There is no fixed renewal date; your rank is judged automatically on the 12 months preceding the moment of evaluation (rolling window)\n- Purchases drop out of the total 12 months after the month they were made, so your rank falls if the total drops below a threshold\n- Averaging ¥42,000 a month gets you to Diamond in a year\n\n[Rank restoration]\n- If you were Diamond or Gold in the previous year (12-24 months ago), you are restored immediately by purchasing ¥50,000+ within the last month, even after dropping to Regular\n- Members restored to Gold reach Diamond at ¥350,000 per year (normally ¥500,000)|||【会员等级制度】\n\n・普通：首次注册时（9折优惠＋500积分）\n・银牌（年度5万日元以上）：积分3%返还\n・金牌（年度20万日元以上）：积分5%返还\n・钻石（年度50万日元以上）：积分5%返还＋免运费！\n\n【判定・更新】\n・没有固定更新日，依据评定时点前12个月的购买金额自动判定（滚动方式）\n・自购买月起满12个月后将依次从统计中移除，累计低于门槛即降级\n・月均¥42,000，一年即可达到钻石等级\n\n【救济恢复】\n・前一年（12〜24个月前）为钻石／金牌者，即使降至普通等级，最近1个月内购买满¥50,000亦可立即恢复\n・通过救济恢复金牌者，年度满¥350,000即可升级为钻石（通常为¥500,000）
デタウリ.Detauri - アソート商品|||Detauri - Assort (bulk)|||Detauri - 混装批发商品
古着アソートセット - 10点から購入可能・重量ベースのお得なセット商品|||Used-clothing assort sets - from 10 items, great-value sets priced by weight|||二手服装混装套装 - 10件起订・按重量计价的超值套装商品
※初回50%OFF時・価格破壊商品・沖縄県は対象外|||*Excluded during the first-order 50% OFF, for clearance items, and for Okinawa|||*首单5折期间、破价商品及冲绳县不适用
アソート送料表|||Assort shipping rates|||混装批发运费表
がおすすめ！|||is recommended!|||更为推荐！
商品を選択してください|||Please select an item|||请选择商品
残高:|||Balance:|||余额：
使用するポイント数を入力|||Enter how many points to use|||请输入使用的积分数
1ポイント = 1円として割引に使用できます|||1 point can be used as ¥1 off|||1积分可当作1日元用于折扣
会社名 / 氏名|||Company / Name|||公司名 / 姓名
例：山田太郎|||e.g. Taro Yamada|||例：山田太郎
※ 郵便番号入力で都道府県・市区町村が自動入力されます|||* Entering your postal code fills in the prefecture and city automatically|||* 输入邮政编码后将自动填写都道府县与市区町村
建物名・部屋番号|||Building name / room number|||建筑名称・房号
マンション名・号室など|||Apartment name, room number, etc.|||公寓名称・房号等
備考がありましたらご記入ください|||Add any notes here|||如有备注请填写
コンビニ払い|||Convenience store payment|||便利店支付
1点ずつ選びたい方は|||To pick items one by one|||想逐件挑选的话
1点ずつ選びたい方はこちら|||Pick items one by one here|||想逐件挑选请点这里
全品採寸撮影データ付き。サイズ・ブランド・状態を確認しながら1点ずつお選びいただけます。|||Every item comes with measurement and photo data. Pick items one by one while checking size, brand, and condition.|||所有商品均附尺寸与拍摄数据。可一边确认尺码、品牌、状态一边逐件挑选。
デタウリで商品を見る →|||Browse items on Detauri →|||在 Detauri 查看商品 →
アソート商品とは|||What is Assort (bulk)?|||什么是混装批发商品
