* ランクは判定の瞬間から過去12ヶ月の購入金額で自動判定（ローリング方式）|||* Rank is determined automatically from your purchases over the 12 months preceding the moment of evaluation (rolling window)|||* 等级依据评定时点前12个月的购买金额自动判定（滚动方式）
ローリング方式|||rolling window|||滚动方式
過去12ヶ月|||the past 12 months|||过去12个月
* ポイントは1pt = 1円として次回以降のお買い物にご利用いただけます|||* Points can be used as ¥1 each on future purchases|||* 积分可按1积分=1日元用于下次以后的购物
* ダイヤモンド・ゴールド会員は更新切れ後1ヶ月以内に5万円以上購入でランク復活|||* Diamond and Gold members can restore their rank by purchasing ¥50,000+ within one month of expiry|||* 钻石・金牌会员在等级失效后1个月内购买满5万日元即可恢复等级
以内|||within|||以内
* 救済でゴールド復活された方は、年間¥350,000でダイヤモンド昇格（通常¥500,000）|||* Members restored to Gold reach Diamond at ¥350,000 per year (normally ¥500,000)|||* 通过救济恢复金牌的会员，年度满¥350,000即可升级为钻石（通常为¥500,000）
* ポイントの有効期限は最終更新日から6ヶ月です|||* Points expire 6 months after the last update|||* 积分有效期为最后更新日起6个月
SNSシェアキャンペーン|||Social share campaign|||社交分享活动
デタウリをSNSでシェアして、次回使える¥1,000クーポンをゲット！|||Share Detauri on social media and get a ¥1,000 coupon for your next order!|||在社交媒体分享 Detauri，即可获得下次可用的¥1,000优惠券！
下のボタンからシェアして、スクリーンショットをアップロードしてください。|||Share using the buttons below, then upload a screenshot.|||请通过下方按钮分享，并上传截图。
𝕏 でシェア|||Share on 𝕏|||在 𝕏 上分享
LINE でシェア|||Share on LINE|||在 LINE 上分享
画像を選択（5MB以下）|||Choose an image (5MB or less)|||选择图片（5MB以内）
申請する|||Submit|||提交申请
スクリーンショットを確認中です。承認後にクーポンコードをメールでお送りします。|||We are reviewing your screenshot. We will email you the coupon code once approved.|||正在确认您的截图。审核通过后将通过邮件发送优惠券代码。
クーポンが発行されました！|||Your coupon has been issued!|||优惠券已发放！
コピー|||Copy|||复制
注文時にクーポンコード欄に入力してご利用ください（¥1,000以下の商品で1点無料）|||Enter it in the coupon code field at checkout (one item under ¥1,000 free)|||下单时请填入优惠券代码栏使用（¥1,000以下商品可免费1件）
紹介プログラム|||Referral program|||推荐计划
お友達を紹介すると、あなたに500pt・お友達に300ptプレゼント！|||Refer a friend and get 500 pt for you and 300 pt for them!|||推荐好友，您得500积分，好友得300积分！
プレゼント|||Gift|||赠送
完了|||Done|||完成
注文完了|||Order complete|||下单完成
お支払いが完了しました。注文確認メールをお送りしましたのでご確認ください。商品の発送準備を進めてまいります。|||Your payment is complete. We have emailed your order confirmation. We will begin preparing your shipment.|||付款已完成。我们已发送订单确认邮件，请查收。我们将开始准备发货。
発送|||Shipping|||发货
営業時間|||Business hours|||营业时间
平日 10:00〜18:00|||Weekdays 10:00-18:00|||工作日 10:00〜18:00
：平日 10:00〜18:00（土日祝は発送・事務処理休み）|||: Weekdays 10:00-18:00 (no shipping or office work on weekends and holidays)|||：工作日 10:00〜18:00（周末及节假日不发货、不处理事务）
メッセージへの返信は土日祝も対応しております。2営業日以内にご返信いたします。|||We reply to messages on weekends and holidays too, within 2 business days.|||周末及节假日也会回复消息。我们将在2个工作日内回复。
お名前 *|||Your name *|||姓名 *
返信先メールアドレス|||Reply-to email address|||回复用邮箱地址
お問い合わせ内容 *|||Your message *|||咨询内容 *
お問い合わせ内容をご記入ください|||Please write your message|||请填写咨询内容
📎 画像を添付（最大3枚）|||📎 Attach images (up to 3)|||📎 添加图片（最多3张）
お知らせ|||Notice|||通知
商品データの間違い・表示の不具合・動作の問題などをお知らせください。|||Let us know about incorrect product data, display glitches, or things that do not work.|||请告知我们商品数据错误、显示异常或功能问题。
報告内容 *|||Report details *|||报告内容 *
どの商品・どの画面で、どのような問題がありましたか？|||Which product or screen, and what went wrong?|||在哪个商品／哪个页面出现了什么问题？
依頼送信中...|||Sending request...|||请求发送中...
送信中...|||Sending...|||发送中...
