イエロー系|||Yellow|||黄色系
オレンジ系|||Orange|||橙色系
カーキ系|||Khaki|||卡其色系
グリーン系|||Green|||绿色系
グレイ系|||Grey|||灰色系
ネイビー系|||Navy|||藏青色系
バイカラー|||Two-tone|||双色
パープル系|||Purple|||紫色系
ピンク系|||Pink|||粉色系
ブラウン系|||Brown|||棕色系
ブラック系|||Black|||黑色系
ブルー系|||Blue|||蓝色系
ベージュ系|||Beige|||米色系
ホワイト系|||White|||白色系
マルチカラー|||Multicolour|||多色
モノクロ|||Monochrome|||黑白
レッド系|||Red|||红色系
アプワイザーリッシェ|||Apuweiser-riche|||Apuweiser-riche
アール(A.A.R)|||A.A.R|||A.A.R
エレメント　オブ　シンプルライフ|||Element of Simplelife|||Element of Simplelife
オゾック|||OZOC|||OZOC
フランソワサンキ|||Francois Cinq|||Francois Cinq
ユニフィー|||Unifie|||Unifie
ラボラトリーワーク|||Laboratory Work|||Laboratory Work
新之助|||Shinnosuke|||新之助
