デタウリ|||Detauri|||Detauri
デタウリ.Detauri|||Detauri|||Detauri
1点から|||From 1 item|||单件起订
500ポイント|||500 points|||500积分
ポイント|||Points|||积分
会員|||Member|||会员
採寸撮影データ|||measurement & photo data|||尺寸与拍摄数据
採寸撮影データ付き古着卸 - 1点から購入可能・会員登録で10%OFF＋500ポイント・¥10,000以上送料無料|||Used clothing wholesale with measurement & photo data - buy from 1 item, 10% OFF + 500 points on sign-up, free shipping over ¥10,000|||附尺寸与拍摄数据的二手服装批发 - 单件起订，注册会员立享9折＋500积分，满¥10,000免运费
点|||items|||件
送料|||Shipping|||运费
送料無料|||Free shipping|||免运费
決済|||Payment|||支付
カート|||Cart|||购物车
アソート|||Assort|||混装批发
アソート商品|||Assort (bulk)|||混装批发商品
サイズ|||Size|||尺码
受付番号|||Order number|||受理编号
受付番号紐付け|||Link order number|||关联受理编号
管理|||Admin|||管理
管理者モード|||Admin mode|||管理员模式
管理者モード解除|||Exit admin mode|||退出管理员模式
解除|||Release|||解除
管理設定|||Admin settings|||管理设置
期限切れ確保の整理|||Clean up expired holds|||清理过期占用
状態|||Condition|||状态
状態の再構築|||Rebuild status|||重建状态
削除|||Delete|||删除
商品キャッシュ削除|||Clear product cache|||清除商品缓存
ステータスのプルダウン適用|||Apply status dropdown|||应用状态下拉
適用|||Apply|||应用
メール一括テスト送信|||Send test emails in bulk|||批量发送测试邮件
送信|||Send|||发送
KOMOJU 決済モード|||KOMOJU payment mode|||KOMOJU 支付模式
読込中...|||Loading...|||加载中...
切替|||Switch|||切换
会員割引|||Member discount|||会员折扣
読み込み中...|||Loading...|||加载中...
¥10,000以上で送料無料|||Free shipping over ¥10,000|||满¥10,000免运费
※初回50%OFF時・アソートの価格破壊商品・沖縄県は対象外|||*Excluded during the first-order 50% OFF, for Assort clearance items, and for Okinawa|||*首单5折期间、混装批发的破价商品及冲绳县不适用
で送料無料|||for free shipping|||即可免运费
今すぐ無料登録 ＞|||Sign up free now ＞|||立即免费注册 ＞
先行登録のお得：いま会員登録で初回購入|||Early sign-up offer: register now and your first order gets|||抢先注册优惠：现在注册会员，首单可享
全品50%OFF|||50% OFF everything|||全场5折
！さらに|||! Plus|||！此外
（9/30まで）＋全品|||(until Sep 30) + everything|||（截至9月30日）＋全场
＋初回|||+ a first-time|||＋首次
採寸撮影付き個品（デタウリ）|||Single items with measurements & photos (Detauri)|||附尺寸与拍摄的单品（Detauri）
ログイン|||Log in|||登录
ログイン / 新規登録|||Log in / Sign up|||登录 / 注册
新規登録|||Sign up|||注册
商品ガイド|||Product guide|||商品指南
デタウリ送料表|||Detauri shipping rates|||Detauri 运费表
送料表|||Shipping rates|||运费表
お問い合わせ|||Contact us|||联系我们
バグ報告|||Report a bug|||错误报告
点以上の販売実績|||items sold to date|||件以上的销售业绩
社以上のご利用|||businesses served|||家以上企业使用
リピート率|||Repeat rate|||复购率
がお得！数量指定でかんたん注文|||is the better deal! Just pick a quantity and order|||更划算！指定数量即可轻松下单
まとめ買いなら|||For bulk buying,|||批量采购请选
ブランド|||Brand|||品牌
カテゴリ|||Category|||分类
性別|||Gender|||性别
標準|||Default|||默认
並べ替え方向|||Sort direction|||排序方向
リセット|||Reset|||重置
おすすめ商品|||Recommended|||推荐商品
0円|||¥0|||¥0
円|||yen|||日元
ブランド選択|||Select brand|||选择品牌
